db_name,table_name,column_name
,dim_region,region_id
,dim_region,region_name
,dim_region,province
,dim_region,city
,dim_product,product_id
,dim_product,product_name
,dim_product,category
,dim_product,brand
,dim_product,unit_price
,dim_product,cost_price
,dim_user,user_id
,dim_user,user_name
,dim_user,gender
,dim_user,age
,dim_user,member_level
,dim_user,register_date
,dim_user,region_id
,fact_order,order_id
,fact_order,user_id
,fact_order,product_id
,fact_order,region_id
,fact_order,quantity
,fact_order,unit_price
,fact_order,order_amount
,fact_order,discount
,fact_order,pay_amount
,fact_order,order_status
,fact_order,order_date
,fact_order,pay_date
